Title,Note,URL,Tags,Comment
"NomadGao Vila Nova - A Social Hotel for Digital Nomads, Creators, Entrepreneurs (W Coworking Space)",,https://www.google.com/maps/place/NomadGao+Vila+Nova/data=!4m2!3m1!1s0x3bbfebf0d7aa79d1:0xbcc572b64feb4f02,,
Saudades,,https://www.google.com/maps/place/Saudades/data=!4m2!3m1!1s0x3bbfc029af83a9a9:0xe4759ec39c15a2c1,,
Soro - The village pub,,https://www.google.com/maps/place/Soro+-+The+village+pub/data=!4m2!3m1!1s0x3bbfebcf9279e469:0xe612e382f7f93219,,
"Foxoso La Alphonso Beach Resort & Spa, Goa",,https://www.google.com/maps/place/Foxoso+La+Alphonso+Beach+Resort/data=!4m2!3m1!1s0x3bbfe9548ae2abb9:0xfc61620bd7271cb9,,
Novotel Goa Dona Sylvia Resort,,https://www.google.com/maps/place/Novotel+Goa+Dona+Sylvia+Resort/data=!4m2!3m1!1s0x3bbe4ca500000001:0x73b6ec783cc0c772,,
Little World,,https://www.google.com/maps/place/Little+World/data=!4m2!3m1!1s0x3bbe45516181d29b:0x36a016aeabdcd296,,
Burger Factory,,https://www.google.com/maps/place/Burger+Factory/data=!4m2!3m1!1s0x3bbfe981721edefd:0x89c17fdfdffb978d,,
Galgibaga Beach,,https://www.google.com/maps/place/Galgibaga+Beach/data=!4m2!3m1!1s0x3bbe5b3c39a8699f:0x9ec1bd1c29b6b529,,
Madragoa - The World's First Casa do Fado e Mandó,,https://www.google.com/maps/place/Madragoa/data=!4m2!3m1!1s0x3bbfc14626e28a19:0x88e69968544ef5a3,,
Cafe Tathastu Goa,,https://www.google.com/maps/place/Cafe+Tathastu+Goa/data=!4m2!3m1!1s0x3bbfef80f5149c4f:0x7cca70a11a60d99c,,
Hideaway Café and Bar,,https://www.google.com/maps/place/Hideaway+Caf%C3%A9+and+Bar/data=!4m2!3m1!1s0x3bbfe9711be889dd:0xccca9b2f772cf49c,,
